"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"id_ndp_edificio";"id_clase_ndp_edificio";"desc_ndp_edificio";"Cod_Postal";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"secuencial_local_PC";"Escalera";"id_planta_agrupado";"id_local_agrupado";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"id_periodo_terraza";"desc_periodo_terraza";"id_situacion_terraza";"desc_situacion_terraza";"Superficie_ES";"Superficie_RA";"Fecha_confir_ult_decreto_resol";"id_ndp_terraza";"id_clase_ndp_terraza";"desc_ndp_terraza";"rotulo"
"20001019";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"11009373";"1";"CALLE  BOLIVAR NUM 18  A";"28045";"441377,36";"4471711,17";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"1";"Anual";"1";"Abierta";"64,79";"64,79";"10/07/2014";"11009373";"1";"CALLE  BOLIVAR NUM 18  A";"CAFETERIA TRASMONTANA RESTAURANTE"
"20001031";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"20126587";"1";"CALLE  TENIENTE CORONEL NOREÃ‘A NUM 26   ";"28045";"441272,43";"4471285,74";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"45,36";"45,36";"03/09/2014";"20129030";"1";"CALLE  JULIAN RABANEDO NUM 44   ";"RESTAURANTE LOS CASTAÑOS"
"20001037";"2";"ARGANZUELA          ";"205";"DELICIAS            ";"11009847";"1";"CALLE  FERROCARRIL NUM 21   ";"28045";"441006,75";"4472674,75";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"41,85";"41,85";"09/05/2014";"11009847";"1";"CALLE  FERROCARRIL NUM 21   ";"BAR-RESTAURANTE MADRID MEDITERRANEO"
"20001073";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11008800";"1";"CALLE  TORRES MIRANDA NUM 15   ";"28045";"440708,61";"4472380,63";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"1";"Anual";"1";"Abierta";"10,4";"10,4";"25/06/2014";"11008800";"1";"CALLE  TORRES MIRANDA NUM 15   ";"CAFETERIA TRANSMONTANO"
"20001080";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11008916";"1";"CALLE  JAIME EL CONQUISTADOR NUM 15   ";"28045";"440878,75";"4472238,91";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"37,87";"37,87";"30/04/2014";"11008916";"1";"CALLE  JAIME EL CONQUISTADOR NUM 15   ";"BAR EL CONQUISTADOR"
"20001082";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"20085008";"1";"PASEO  DOCTOR VALLEJO NAGERA NUM 51   ";"28005";"439495,11";"4472990,47";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"35,64";"35,64";"22/05/2014";"20085008";"1";"PASEO  DOCTOR VALLEJO NAGERA NUM 51   ";"RODILLA"
"20001084";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"11008672";"1";"PASEO  SANTA MARIA DE LA CABEZA NUM 88   ";"28045";"440521,34";"4472387,09";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"58,31";"58,31";"02/07/2014";"11008672";"1";"PASEO  SANTA MARIA DE LA CABEZA NUM 88   ";"R0TULO NO INFORMADO"
"20001101";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"11008215";"1";"PASEO  IMPERIAL NUM 53   ";"28005";"439383,3";"4473053,1";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"47,81";"47,81";"30/04/2014";"11008215";"1";"PASEO  IMPERIAL NUM 53   ";"CERVECERIA CANTALEJO RESTAURANTE"
"20001104";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"11009187";"1";"CALLE  MANUEL ALEIXANDRE NUM 2   ";"28045";"441185,17";"4471583,35";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"1";"Anual";"1";"Abierta";"5,76";"5,76";"10/06/2014";"11009200";"1";"PASEO  MOLINO NUM 1   ";"NEMRUT DÃ–NER KEBAP"
"20001213";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11008812";"1";"PASEO  CHOPERA NUM 21   ";"28045";"440599,32";"4472143,27";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"81";"81";"04/03/2015";"11008812";"1";"PASEO  CHOPERA NUM 21   ";"CERVECERIA-RESTAURANTE LUIS"
"20001216";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11009026";"1";"PASEO  CHOPERA NUM 53   ";"28045";"440945,61";"4471797,04";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"22,32";"22,32";"10/07/2014";"11009026";"1";"PASEO  CHOPERA NUM 53   ";"CAFETERIA FUSION MATADERO"
"20001218";"2";"ARGANZUELA          ";"204";"LEGAZPI             ";"20078461";"1";"CALLE  BRONCE NUM 35   ";"28045";"441595,22";"4471290,33";"1";"Puerta Calle";"1";"Abierto";"40";"";"";"";"";"";"1";"Anual";"1";"Abierta";"13,58";"13,58";"19/02/2015";"20078461";"1";"CALLE  BRONCE NUM 35   ";"RESTAURANTE BAR EL HORREO"
"20001253";"2";"ARGANZUELA          ";"203";"CHOPERA             ";"11008745";"1";"CALLE  EMBAJADORES NUM 130   ";"28045";"440857,02";"4472473,85";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"16,2";"16,2";"12/01/2015";"11008745";"1";"CALLE  EMBAJADORES NUM 130   ";"UNIVERSO KEBAB-PARA LLEVAR"
"20001326";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"11008273";"1";"CALLE  TOLEDO NUM 122   ";"28005";"439662,57";"4473250,76";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"38,35";"38,35";"13/03/2015";"11008273";"1";"CALLE  TOLEDO NUM 122   ";"RESTAURANTE RIOJANOS MADRID"
"20001330";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"11008129";"1";"RONDA  SEGOVIA NUM 16   ";"28005";"439282,81";"447355,96";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"22,7";"";"01/08/2014";"11008129";"1";"RONDA  SEGOVIA NUM 16   ";"SABOR"
"20001343";"2";"ARGANZUELA          ";"206";"PALOS DE MOGUER     ";"20107716";"1";"CALLE  PALOS DE LA FRONTERA NUM 42  A";"28045";"441223,6";"4472885,07";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"16,32";"";"26/05/2015";"20008120";"1";"PASEO  DELICIAS NUM 44  A";"RODILLA"
"20001359";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"11008354";"1";"PASEO  YESERIAS NUM 3   ";"28005";"439639,11";"4472668,47";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"2";"Estacional";"1";"Abierta";"10,3";"";"16/02/2015";"11008354";"1";"PASEO  YESERIAS NUM 3   ";"PARAISO"
"20001407";"2";"ARGANZUELA          ";"202";"ACACIAS             ";"11008521";"1";"CALLE  EMBAJADORES NUM 78   ";"28012";"440542,09";"4473043,28";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"12,69";"12,69";"03/07/2015";"11008521";"1";"CALLE  EMBAJADORES NUM 78   ";"BASHUNDHARA"
"20001410";"2";"ARGANZUELA          ";"206";"PALOS DE MOGUER     ";"20008260";"1";"CALLE  BATALLA DEL SALADO NUM 8   ";"28045";"441027,16";"4472965,87";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"1";"Anual";"1";"Abierta";"59,58";"34,1";"04/09/2014";"11010262";"1";"CALLE  PALOS DE LA FRONTERA NUM 17   ";"LA TABERNA DEL TIO INDA"
"20001434";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"11008028";"1";"PASEO  VIRGEN DEL PUERTO NUM 45   ";"28005";"438930,76";"4473651,5";"1";"Puerta Calle";"1";"Abierto";"60";"";"";"";"";"";"1";"Anual";"1";"Abierta";"25,92";"25,92";"31/07/2015";"11008028";"1";"PASEO  VIRGEN DEL PUERTO NUM 45   ";"BAR MURILLO II"
"20001456";"2";"ARGANZUELA          ";"201";"IMPERIAL            ";"20084973";"1";"PASEO  IMPERIAL NUM 89   ";"28005";"439433,3";"4472871,13";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"32,04";"32,04";"04/09/2014";"20084973";"1";"PASEO  IMPERIAL NUM 89   ";"BAR DAKOTA"
